Timestamp,t2m_value,sst_value,llj_indic,llj_level,max_indic,LEG_H062_Wd,diff_data,u10_value
2016-01-03 01:00:00,282.83826,282.75317,0.0,0.0,0.0,181.08333166666668,0.08508301,-0.3610077
2016-01-03 02:00:00,283.24,282.75317,0.0,0.0,0.0,186.3,0.4868164,2.3298492
2016-01-03 03:00:00,283.27734,282.75317,0.0,0.0,0.0,196.4166683333333,0.5241699,4.917755
2016-01-03 04:00:00,283.29214,282.75317,0.0,0.0,0.0,214.61666666666667,0.53897095,7.327301
2016-01-03 05:00:00,283.02832,282.75317,0.0,0.0,0.0,221.98333166666663,0.27514648,8.530365
2016-01-03 06:00:00,282.77893,282.75317,0.0,0.0,0.0,225.4999983333333,0.025756836,8.589813
2016-01-03 07:00:00,282.674,282.75317,0.0,0.0,0.0,212.03333166666667,-0.0791626,7.853302
2016-01-03 08:00:00,282.57996,282.75317,0.0,0.0,0.0,194.36666333333332,-0.17321777,5.8491516
2016-01-03 09:00:00,281.98364,282.75317,0.0,0.0,0.0,188.66666666666663,-0.76953125,2.816452
2016-01-03 10:00:00,281.57635,282.75317,0.0,0.0,0.0,181.1166683333333,-1.1768188,0.37361145
2016-01-03 11:00:00,281.14215,282.75317,0.0,0.0,0.0,171.30000166666665,-1.611023,-0.91290283
2016-01-03 12:00:00,280.9544,282.75317,0.0,0.0,0.0,158.36667,-1.7987671,-2.4241943
2016-01-03 13:00:00,280.94333,282.75317,0.0,0.0,0.0,155.566665,-1.809845,-4.2315826
2016-01-03 14:00:00,281.0307,282.75317,0.0,0.0,0.0,152.29999999999998,-1.7224731,-6.145111
2016-01-03 15:00:00,281.30405,282.75317,0.0,0.0,0.0,141.36666666666667,-1.4491272,-7.4399567
2016-01-03 16:00:00,281.2786,282.75317,0.0,0.0,0.0,133.46666333333334,-1.4745789,-8.855499
2016-01-03 17:00:00,281.23254,282.75317,0.0,0.0,0.0,136.20000333333334,-1.5206299,-9.295517
2016-01-03 18:00:00,281.2077,282.75317,0.0,0.0,0.0,146.33333166666668,-1.5454712,-8.27684
2016-01-03 19:00:00,281.05786,282.75317,0.0,0.0,0.0,147.95000166666668,-1.6953125,-7.760437
2016-01-03 20:00:00,280.7328,282.75317,0.0,0.0,0.0,154.683335,-2.0203857,-7.364792
2016-01-03 21:00:00,280.31403,282.75317,0.0,0.0,0.0,157.19999833333335,-2.439148,-7.2456665
2016-01-03 22:00:00,280.40503,282.4817,0.0,0.0,0.0,147.01666833333334,-2.0766602,-6.09169
2016-01-03 23:00:00,280.13287,282.4817,0.0,0.0,0.0,152.06666666666666,-2.348816,-4.617096
2016-01-04 00:00:00,280.0442,282.4817,0.0,0.0,0.0,163.15000333333333,-2.4375,-2.1313782
2016-01-04 01:00:00,280.1942,282.4817,0.0,0.0,0.0,171.633335,-2.2874756,0.53134155
2016-01-04 02:00:00,280.67126,282.4817,0.0,0.0,0.0,180.5166683333333,-1.8104248,1.9845886
2016-01-04 03:00:00,281.36035,282.4817,0.0,0.0,0.0,196.63333333333333,-1.1213379,2.6999817
2016-01-04 04:00:00,281.9718,282.4817,0.0,0.0,0.0,208.16666666666663,-0.5098877,3.8072052
2016-01-04 05:00:00,282.20496,282.4817,0.0,0.0,0.0,210.08333166666668,-0.2767334,4.2496643
2016-01-04 06:00:00,282.0785,282.4817,0.0,0.0,0.0,206.36667,-0.40319824,4.3082275
2016-01-04 07:00:00,281.89722,282.4817,0.0,0.0,0.0,213.48333333333332,-0.58447266,4.00235
2016-01-04 08:00:00,281.84912,282.4817,0.0,0.0,0.0,209.46666833333333,-0.63256836,3.9612274
2016-01-04 09:00:00,281.83575,282.4817,0.0,0.0,0.0,204.38333,-0.64593506,4.064926
2016-01-04 10:00:00,281.4007,282.4817,0.0,0.0,0.0,195.61666666666667,-1.0809937,2.7065887
2016-01-04 11:00:00,281.59985,282.4817,0.0,0.0,0.0,197.3166733333333,-0.88183594,2.336609
2016-01-04 12:00:00,281.73505,282.4817,0.0,0.0,0.0,196.10000166666669,-0.74664307,2.3592834
2016-01-04 13:00:00,281.78802,282.4817,0.0,0.0,0.0,196.98332833333333,-0.69366455,2.7085114
2016-01-04 14:00:00,281.8517,282.4817,0.0,0.0,0.0,190.21666666666667,-0.62997437,2.316864
2016-01-04 15:00:00,282.05017,282.4817,0.0,0.0,0.0,182.63333333333333,-0.43151855,2.0392761
